symbol,sector,market_cap
ARIHANTSUP.NS,Real Estate,1231
ARIS.NS,Industrials,1130
ARKADE.NS,Real Estate,2336
ARMANFIN.NS,Financial Services,1603
AROGRANITE.NS,Industrials,41
ARROWGREEN.NS,Consumer Cyclical,814
ARSHIYA.NS,Industrials,34
ARSSBL.NS,Financial Services,3792
ARTEMISMED.NS,,0
ARTNIRMAN.NS,Real Estate,109
ARVEE.NS,Basic Materials,188
ARVIND.NS,Consumer Cyclical,10544
ARVINDFASN.NS,Consumer Cyclical,5725
ARVSMART.NS,Real Estate,2896
ASAHIINDIA.NS,Consumer Cyclical,21348
ASAHISONG.NS,Basic Materials,294
ASAL.NS,Consumer Cyclical,826
ASALCBR.NS,Consumer Defensive,1798
ASHAPURMIN.NS,Basic Materials,6125
ASHIANA.NS,Real Estate,3474
ASHIKA.NS,,0
ASHIMASYN.NS,Real Estate,313
ASHOKA.NS,Industrials,3786
ASHOKAMET.NS,Basic Materials,42
ASHOKLEY.NS,Industrials,95655
ASIANENE.NS,Energy,1433
ASIANHOTNR.NS,Consumer Cyclical,1270
ASIANPAINT.NS,Basic Materials,238127
ASIANTILES.NS,Industrials,1883
ASKAUTOLTD.NS,Consumer Cyclical,8960
ASMS.NS,Technology,240
ASPINWALL.NS,Consumer Defensive,179
ASTAR.NS,,0
ASTEC.NS,Basic Materials,1568
ASTERDM.NS,Healthcare,38602
ASTRAL.NS,Industrials,42097
ASTRAMICRO.NS,Technology,10799
ASTRAZEN.NS,Healthcare,20568
ASTRON.NS,Basic Materials,20
ATALREAL.NS,Industrials,330
ATAM.NS,Industrials,92
ATGL.NS,Utilities,71212
ATHERENERG.NS,Consumer Cyclical,35473
ATL.NS,Industrials,764
ATLANTAA.NS,Industrials,342
ATLANTAELE.NS,Industrials,12849
ATLASCYCLE.NS,Consumer Cyclical,66
ATUL.NS,Basic Materials,20378
ATULAUTO.NS,Consumer Cyclical,1380
AUBANK.NS,Financial Services,77088
AURIGROW.NS,Industrials,21
AURIONPRO.NS,Technology,4839
AUROPHARMA.NS,Healthcare,80528
AURUM.NS,Real Estate,1382
AUSOMENT.NS,Financial Services,202
AUTOAXLES.NS,Consumer Cyclical,2763
AUTOIND.NS,Consumer Cyclical,298
AVADHSUGAR.NS,Consumer Defensive,988
AVAILFC.NS,,0
AVALON.NS,Technology,7029
AVANTEL.NS,Technology,4023
AVANTIFEED.NS,Consumer Defensive,18570
AVG.NS,Industrials,256
AVL.NS,Consumer Cyclical,6844
AVONMORE.NS,Financial Services,348
AVROIND.NS,Consumer Cyclical,169
AVTNPL.NS,Basic Materials,1061
AWFIS.NS,Industrials,2535
AWHCL.NS,Industrials,1459
AWL.NS,Consumer Defensive,26043
AXISBANK.NS,Financial Services,397466
AXISCADES.NS,Industrials,8944
AXITA.NS,Consumer Cyclical,309
AYE.NS,Financial Services,3220
AYMSYNTEX.NS,Consumer Cyclical,1364
AZAD.NS,Industrials,14111
BAFNAPH.NS,Healthcare,324
BAGFILMS.NS,Communication Services,109
BAIDFIN.NS,Financial Services,175
BAJAJ-AUTO.NS,Consumer Cyclical,287973
BAJAJCON.NS,Consumer Defensive,6056
BAJAJELEC.NS,Consumer Cyclical,4605
BAJAJFINSV.NS,Financial Services,282725
BAJAJHCARE.NS,Healthcare,1110
BAJAJHFL.NS,Financial Services,72459
BAJAJHIND.NS,Consumer Defensive,4859
