symbol,sector,market_cap
GARFIBRES.NS,Consumer Cyclical,6216
GARUDA.NS,Industrials,1611
GATECH.NS,Financial Services,64
GATECHDVR.NS,Financial Services,63
GATEWAY.NS,Industrials,2999
GAUDIUMIVF.NS,Healthcare,854
GAYAHWS.NS,Industrials,56
GAYAPROJ.NS,Industrials,873
GCSL.NS,Financial Services,834
GEECEE.NS,Real Estate,621
GEEKAYWIRE.NS,Industrials,270
GEMAROMA.NS,Basic Materials,845
GENCON.NS,Industrials,231
GENESYS.NS,Technology,1070
GENSOL.NS,Technology,84
GENUSPAPER.NS,Basic Materials,349
GENUSPOWER.NS,Industrials,8912
GEOJITFSL.NS,Financial Services,1821
GESHIP.NS,Industrials,22001
GFLLIMITED.NS,Financial Services,535
GFSTEELS.NS,Basic Materials,37
GHCL.NS,Basic Materials,4927
GHCLTEXTIL.NS,Consumer Cyclical,855
GICHSGFIN.NS,Financial Services,827
GICL.NS,Industrials,460
GICRE.NS,Financial Services,70351
GILLANDERS.NS,Consumer Defensive,202
GILLETTE.NS,Consumer Defensive,26296
GINNIFILA.NS,Consumer Cyclical,363
GIPCL.NS,Utilities,2460
GKENERGY.NS,Utilities,2620
GKSL.NS,Healthcare,1010
GKWLIMITED.NS,Industrials,1013
GLAND.NS,Healthcare,29985
GLAXO.NS,Healthcare,39742
GLENMARK.NS,Healthcare,67990
GLFL.NS,Financial Services,19
GLOBAL.NS,Consumer Defensive,512
GLOBALE.NS,Consumer Cyclical,14
GLOBALVECT.NS,Industrials,257
GLOBE.NS,Consumer Cyclical,113
GLOBECIVIL.NS,Industrials,286
GLOBUSSPR.NS,Consumer Defensive,3310
GLOSTERLTD.NS,Consumer Cyclical,702
GLOTTIS.NS,Industrials,546
GMBREW.NS,Consumer Defensive,2209
GMDCLTD.NS,Energy,23150
GMMPFAUDLR.NS,Industrials,4114
GMRAIRPORT.NS,Industrials,105230
GMRP&UI.NS,Energy,8540
GNA.NS,Consumer Cyclical,1848
GNFC.NS,Basic Materials,6989
GNRL.NS,,0
GOACARBON.NS,Basic Materials,348
GOCLCORP.NS,Basic Materials,1640
GOCOLORS.NS,Consumer Cyclical,1484
GODAVARIB.NS,Basic Materials,1641
GODFRYPHLP.NS,Consumer Defensive,35097
GODIGIT.NS,Financial Services,28144
GODREJAGRO.NS,Consumer Defensive,11274
GODREJCP.NS,Consumer Defensive,111185
GODREJIND.NS,Industrials,33091
GODREJPROP.NS,Real Estate,57566
GOKEX.NS,Consumer Cyclical,5104
GOKUL.NS,Consumer Defensive,397
GOKULAGRO.NS,Consumer Defensive,7136
GOLDENTOBC.NS,Consumer Defensive,48
GOLDIAM.NS,Consumer Cyclical,4283
GOLDTECH.NS,Technology,208
GOODLUCK.NS,Basic Materials,4308
GOODYEAR.NS,Consumer Cyclical,1807
GOPAL.NS,Consumer Defensive,3527
GOYALALUM.NS,Basic Materials,101
GPIL.NS,Basic Materials,19506
GPPL.NS,Industrials,7770
GPTHEALTH.NS,Healthcare,1169
GPTINFRA.NS,Industrials,1462
GRANDOAK.NS,,0
GRANULES.NS,Healthcare,17541
GRAPHITE.NS,Industrials,13926
GRASIM.NS,Basic Materials,193211
GRAUWEIL.NS,Basic Materials,3172
GRAVISSHO.NS,,0
GRAVITA.NS,Industrials,12236
GREAVESCOT.NS,Industrials,3943
GREENLAM.NS,Consumer Cyclical,5932
GREENPANEL.NS,Basic Materials,2763
GREENPLY.NS,Basic Materials,3298
GREENPOWER.NS,Utilities,1506
GRINDWELL.NS,Industrials,17825
GRINFRA.NS,Industrials,9182
GRMOVER.NS,Consumer Defensive,3700
GROBTEA.NS,Consumer Defensive,105
GROWW.NS,Financial Services,136394
GRPLTD.NS,Consumer Cyclical,1007
GRSE.NS,Industrials,32276
GRWRHITECH.NS,Basic Materials,9816
GSFC.NS,Basic Materials,6923
GSLSU.NS,Basic Materials,247
GSPCROP.NS,Basic Materials,2006
GSPL.NS,Utilities,16353
GSS.NS,Technology,36
GTECJAINX.NS,Consumer Defensive,20
GTL.NS,Communication Services,117
GTLINFRA.NS,Technology,1588
GTPL.NS,Communication Services,760
GUFICBIO.NS,Healthcare,2870
GUJALKALI.NS,Basic Materials,5730
GUJAPOLLO.NS,Industrials,583
GUJGASLTD.NS,Utilities,26854
GUJRAFFIA.NS,,0
GUJTHEM.NS,Healthcare,3978
GULFOILLUB.NS,Basic Materials,4916
GULFPETRO.NS,Energy,169
GULPOLY.NS,Basic Materials,1168
GVKPIL.NS,Utilities,535
GVPIL.NS,Industrials,4265
GVPTECH.NS,Technology,119
GVT&D.NS,Industrials,113915
HAL.NS,Industrials,306111
HALDER.NS,Consumer Defensive,305
HALDYNGL.NS,,0
HALEOSLABS.NS,Healthcare,453
HAPPSTMNDS.NS,Technology,5611
HAPPYFORGE.NS,Industrials,12675
HARDWYN.NS,Industrials,1328
HARIOMPIPE.NS,Basic Materials,1032
HARRMALAYA.NS,Consumer Defensive,428
HARSHA.NS,Industrials,3537
HATHWAY.NS,Communication Services,1952
HATSUN.NS,Consumer Defensive,21233
HAVELLS.NS,Industrials,78977
HAVISHA.NS,Consumer Cyclical,23
HAWKINCOOK.NS,Consumer Cyclical,0
HBESD.NS,Unknown,0
HBLENGINE.NS,Industrials,22203
HBSL.NS,Financial Services,45
HCC.NS,Industrials,5870
HCG.NS,Healthcare,8995
HCL-INSYS.NS,Technology,406
HCLTECH.NS,Technology,324570
HDBFS.NS,Financial Services,55553
HDFCAMC.NS,Financial Services,117837
HDFCBANK.NS,Financial Services,1205923
HDFCLIFE.NS,Financial Services,127603
HDIL.NS,Real Estate,97
HEADSUP.NS,Consumer Cyclical,16
HEALTHX.NS,Healthcare,887
HECPROJECT.NS,Industrials,142
HEG.NS,Industrials,11723
HEIDELBERG.NS,Basic Materials,3615
HEMIPROP.NS,Real Estate,3868
HERANBA.NS,Basic Materials,898
HERITGFOOD.NS,Consumer Defensive,3387
HEROMOTOCO.NS,Consumer Cyclical,102365
HESTERBIO.NS,Healthcare,1416
HEXATRADEX.NS,Financial Services,944
HEXT.NS,Technology,27608
HFCL.NS,Technology,18959
HGINFRA.NS,Industrials,3910
HGM.NS,Technology,67
HGS.NS,Industrials,1934
HIKAL.NS,Healthcare,2381
HILINFRA.NS,Industrials,371
HILTON.NS,Industrials,119
HIMATSEIDE.NS,Consumer Cyclical,1131
HINDALCO.NS,Basic Materials,233543
HINDCOMPOS.NS,Consumer Cyclical,678
HINDCON.NS,Basic Materials,117
HINDCOPPER.NS,Basic Materials,52315
HINDOILEXP.NS,Energy,2047
HINDPETRO.NS,Energy,80857
HINDUNILVR.NS,Consumer Defensive,552764
HINDWAREAP.NS,Consumer Cyclical,1862
HINDZINC.NS,Basic Materials,256159
HIRECT.NS,Industrials,3325
HISARMETAL.NS,Basic Materials,83
HITECH.NS,Basic Materials,1900
HITECHCORP.NS,Consumer Cyclical,242
HITECHGEAR.NS,Consumer Cyclical,1168
HLEGLAS.NS,Industrials,2254
HLVLTD.NS,Consumer Cyclical,568
HMAAGRO.NS,Consumer Defensive,1216
HMT.NS,Industrials,7584
HMVL.NS,Communication Services,494
HNDFDS.NS,Industrials,6046
HOMEFIRST.NS,Financial Services,12329
HONASA.NS,Consumer Defensive,11123
HONAUT.NS,Industrials,27727
HONDAPOWER.NS,Industrials,2363
HPAL.NS,Basic Materials,349
HPIL.NS,Basic Materials,154
HPL.NS,Industrials,2395
HSCL.NS,Basic Materials,30903
HTMEDIA.NS,Communication Services,513
HUBTOWN.NS,Real Estate,3006
HUDCO.NS,Financial Services,44918
HUHTAMAKI.NS,Consumer Cyclical,1355
HYBRIDFIN.NS,Financial Services,58
HYUNDAI.NS,Consumer Cyclical,149028
IBULLSLTD.NS,Real Estate,4846
ICDSLTD.NS,Real Estate,60
ICEMAKE.NS,Industrials,1263
ICICIAMC.NS,Financial Services,161464
ICICIBANK.NS,Financial Services,915301
ICICIGI.NS,Financial Services,87856
ICICIPRULI.NS,Financial Services,75910
ICIL.NS,Consumer Cyclical,5668
ICRA.NS,Financial Services,5259
IDBI.NS,Financial Services,80858
IDEA.NS,Communication Services,114518
IDEAFORGE.NS,Technology,3165
IDFCFIRSTB.NS,Financial Services,60667
IEX.NS,Financial Services,11320
IFBAGRO.NS,Consumer Defensive,934
IFBIND.NS,Consumer Cyclical,4874
IFCI.NS,Financial Services,15982
IFGLEXPOR.NS,Basic Materials,1394
IGARASHI.NS,Consumer Cyclical,1205
IGCL.NS,Basic Materials,408
IGIL.NS,Basic Materials,14903
IGL.NS,Utilities,23475
IGPL.NS,Basic Materials,1429
IIFL.NS,Financial Services,19585
IIFLCAPS.NS,Financial Services,9758
IITL.NS,Financial Services,379
IKIO.NS,Technology,1267
IKS.NS,Healthcare,27660
IL&FSENGG.NS,Industrials,348
IL&FSTRANS.NS,Industrials,77
IMAGICAA.NS,Communication Services,2620
IMFA.NS,Basic Materials,7758
IMPAL.NS,Consumer Cyclical,1266
IMPEXFERRO.NS,Basic Materials,15
INA.NS,Technology,0
INCREDIBLE.NS,Basic Materials,160
INDBANK.NS,Financial Services,152
INDGN.NS,Healthcare,12677
INDHOTEL.NS,Consumer Cyclical,91903
INDIACEM.NS,Basic Materials,18289
INDIAGLYCO.NS,Basic Materials,7111
INDIAMART.NS,Communication Services,12572
INDIANB.NS,Financial Services,113434
INDIANCARD.NS,Consumer Cyclical,124
INDIANHUME.NS,Industrials,1828
INDIASHLTR.NS,Financial Services,9024
INDIGO.NS,Industrials,167302
INDIGOPNTS.NS,Basic Materials,4092
INDIQUBE.NS,Real Estate,3766
INDNIPPON.NS,Consumer Cyclical,1800
INDOAMIN.NS,Basic Materials,877
INDOBORAX.NS,Basic Materials,870
INDOCO.NS,Healthcare,1981
INDOFARM.NS,Industrials,654
INDORAMA.NS,Consumer Cyclical,1003
INDOSTAR.NS,Financial Services,3498
INDOTECH.NS,Industrials,2946
INDOTHAI.NS,Financial Services,3631
INDOUS.NS,Basic Materials,208
INDOWIND.NS,Utilities,176
INDPRUD.NS,,0
INDRAMEDCO.NS,Healthcare,3792
INDSWFTLAB.NS,Healthcare,1191
INDTERRAIN.NS,Consumer Cyclical,159
INDUSINDBK.NS,Financial Services,72764
INDUSTOWER.NS,Communication Services,104299
INFOBEAN.NS,Technology,1702
INFOMEDIA.NS,Financial Services,28
INFY.NS,Technology,476289
INGERRAND.NS,Industrials,13815
INNOVACAP.NS,Healthcare,4801
INNOVANA.NS,Technology,828
INNOVISION.NS,Industrials,776
INOXGREEN.NS,Utilities,7377
INOXINDIA.NS,Industrials,13532
INOXWIND.NS,Industrials,17787
INSECTICID.NS,Basic Materials,2062
INSPIRISYS.NS,Technology,335
INTELLECT.NS,Technology,10251
INTENTECH.NS,Technology,231
INTERARCH.NS,Industrials,3503
INTLCONV.NS,Industrials,520
INVENTURE.NS,Financial Services,107
INVPRECQ.NS,,0
IOB.NS,Financial Services,67109
IOC.NS,Energy,203162
IOLCP.NS,Healthcare,2830
IONEXCHANG.NS,Industrials,4898
IPCALAB.NS,Healthcare,39209
IPL.NS,Basic Materials,1745
IRB.NS,Industrials,26474
IRCON.NS,Industrials,14554
IRCTC.NS,Consumer Cyclical,44407
IREDA.NS,Financial Services,38494
IRFC.NS,Financial Services,137925
IRIS.NS,Technology,497
IRISDOREME.NS,Consumer Cyclical,618
IRMENERGY.NS,Utilities,1467
ISFT.NS,Consumer Cyclical,122
ISGEC.NS,Industrials,8075
ISHANCH.NS,Basic Materials,165
ITC.NS,Consumer Defensive,393362
ITCHOTELS.NS,Consumer Cyclical,34000
ITDC.NS,Consumer Cyclical,5079
ITI.NS,Technology,28996
IVALUE.NS,Technology,1431
IVC.NS,Financial Services,252
IVP.NS,Basic Materials,151
IWP.NS,,0
IXIGO.NS,Consumer Cyclical,7450
IZMO.NS,Technology,1053
J&KBANK.NS,Financial Services,14519
JAGRAN.NS,Communication Services,1460
JAGSNPHARM.NS,Healthcare,1380
JAIBALAJI.NS,Basic Materials,7673
JAICORPLTD.NS,Basic Materials,2097
JAINREC.NS,Basic Materials,16519
JAIPURKURT.NS,Consumer Cyclical,56
JAMNAAUTO.NS,Consumer Cyclical,4926
JARO.NS,Consumer Defensive,947
JASH.NS,Industrials,2674
JAYAGROGN.NS,Basic Materials,591
JAYBARMARU.NS,Consumer Cyclical,1021
JAYKAY.NS,Industrials,2363
JAYNECOIND.NS,Basic Materials,11074
JAYSREETEA.NS,Consumer Defensive,271
JBCHEPHARM.NS,Healthcare,33561
JBMA.NS,Consumer Cyclical,14976
JETFREIGHT.NS,Industrials,93
JGCHEM.NS,Basic Materials,1621
JHS.NS,Consumer Defensive,78
JINDALPHOT.NS,Financial Services,1143
JINDALPOLY.NS,Consumer Cyclical,3216
JINDALSAW.NS,Basic Materials,14745
JINDALSTEL.NS,Basic Materials,128356
JINDRILL.NS,Energy,1561
JINDWORLD.NS,Consumer Cyclical,2636
JIOFIN.NS,Financial Services,166623
JISLDVREQS.NS,Industrials,1782
JISLJALEQS.NS,Industrials,2468
JITFINFRA.NS,Industrials,768
JKCEMENT.NS,Basic Materials,42188
JKIL.NS,Industrials,3949
JKIPL.NS,Industrials,337
JKLAKSHMI.NS,Basic Materials,8226
JKPAPER.NS,Basic Materials,6781
JKTYRE.NS,Consumer Cyclical,11746
JLHL.NS,Healthcare,8183
JMA.NS,Consumer Cyclical,203
JMFINANCIL.NS,Financial Services,13598
JNKINDIA.NS,Industrials,2059
JOCIL.NS,Basic Materials,119
JPOLYINVST.NS,Financial Services,1173
JPPOWER.NS,Utilities,13706
JSFB.NS,Financial Services,4858
JSL.NS,Basic Materials,64708
JSLL.NS,Healthcare,8525
JSWCEMENT.NS,Basic Materials,16488
JSWDULUX.NS,Unknown,13434
JSWENERGY.NS,Utilities,98509
JSWHL.NS,Industrials,13839
JSWINFRA.NS,Industrials,57276
JSWSTEEL.NS,Basic Materials,309716
JTEKTINDIA.NS,Consumer Cyclical,3844
JTLIND.NS,Basic Materials,3136
JUBLCPL.NS,Basic Materials,2621
JUBLFOOD.NS,Consumer Cyclical,31710
JUBLINGREA.NS,Basic Materials,11402
JUBLPHARMA.NS,Healthcare,14912
JUNIPER.NS,Consumer Cyclical,4686
JUSTDIAL.NS,Communication Services,4524
JWL.NS,Industrials,12348
JYOTHYLAB.NS,Consumer Defensive,9894
JYOTICNC.NS,Industrials,17287
JYOTISTRUC.NS,Industrials,1555
KABRAEXTRU.NS,Industrials,862
KAJARIACER.NS,Industrials,17879
KAKATCEM.NS,Basic Materials,107
KALAMANDIR.NS,Consumer Cyclical,1523
KALPATARU.NS,Real Estate,6866
KALYANI.NS,Consumer Cyclical,13
KALYANIFRG.NS,Consumer Cyclical,222
KALYANKJIL.NS,Consumer Cyclical,43049
KAMAHOLD.NS,,0
KAMATHOTEL.NS,Consumer Cyclical,503
KAMDHENU.NS,Basic Materials,670
KAMOPAINTS.NS,Basic Materials,180
KANANIIND.NS,Consumer Cyclical,32
KANCHI.NS,,0
KANORICHEM.NS,Basic Materials,387
KANPRPLA.NS,Consumer Cyclical,518
KANSAINER.NS,Basic Materials,16260
KAPSTON.NS,Industrials,1049
KARMAENG.NS,Utilities,60
KARURVYSYA.NS,Financial Services,29385
KAUSHALYA.NS,Industrials,31
KAVDEFENCE.NS,Technology,386
KAYA.NS,Consumer Defensive,406
KAYNES.NS,Technology,27464
KCP.NS,Basic Materials,2343
KCPSUGIND.NS,Consumer Defensive,312
KDDL.NS,Consumer Cyclical,2975
KEC.NS,Industrials,15568
KECL.NS,Industrials,848
KEEPLEARN.NS,Consumer Defensive,33
KEI.NS,Industrials,47478
KELLTONTEC.NS,Technology,844
KENNAMET.NS,Industrials,5916
KERNEX.NS,Technology,2267
KESORAMIND.NS,Basic Materials,328
KEYFINSERV.NS,Financial Services,162
KFINTECH.NS,Technology,15299
KHADIM.NS,Consumer Cyclical,186
KHAICHEM.NS,Basic Materials,528
KHAITANLTD.NS,Industrials,64
KHANDSE.NS,Financial Services,27
KICL.NS,Financial Services,2102
KILITCH.NS,Healthcare,546
KIMS.NS,Healthcare,26737
KINGFA.NS,Basic Materials,6537
KIOCL.NS,Basic Materials,25191
KIRANVYPAR.NS,,0
KIRIINDUS.NS,Basic Materials,2726
KIRLFER.NS,Industrials,6203
KIRLOSBROS.NS,Industrials,13677
KIRLOSENG.NS,Industrials,25263
KIRLOSIND.NS,Industrials,3443
KIRLPNU.NS,Industrials,10154
KITEX.NS,Consumer Cyclical,3345
KKCL.NS,Consumer Cyclical,2923
KLBRENG-B.NS,,0
KMEW.NS,Industrials,4888
KMSUGAR.NS,Consumer Defensive,286
KNAGRI.NS,Consumer Defensive,457
KNRCON.NS,Industrials,3588
KOHINOOR.NS,Consumer Defensive,96
KOKUYOCMLN.NS,Industrials,929
KOLTEPATIL.NS,Real Estate,3520
KOPRAN.NS,Healthcare,803
KOTAKBANK.NS,Financial Services,372047
KOTARISUG.NS,Consumer Defensive,234
KOTHARIPET.NS,Basic Materials,791
KOTHARIPRO.NS,Industrials,436
KOTIC.NS,,0
KOTYARK.NS,Basic Materials,437
KOVAI.NS,Healthcare,6169
KPEL.NS,Industrials,2486
KPIGREEN.NS,Utilities,9106
KPIL.NS,Industrials,22371
KPITTECH.NS,Technology,21052
KPL.NS,,0
KPRMILL.NS,Consumer Cyclical,32726
KRBL.NS,Consumer Defensive,8688
KREBSBIO.NS,Healthcare,128
KRIDHANINF.NS,Basic Materials,27
KRISHANA.NS,Basic Materials,3703
KRISHIVAL.NS,Consumer Defensive,884
KRISHNADEF.NS,Industrials,1502
KRITI.NS,Industrials,442
KRITIKA.NS,Basic Materials,167
KRITINUT.NS,Consumer Defensive,480
KRN.NS,Technology,7736
KRONOX.NS,Basic Materials,521
KROSS.NS,Consumer Cyclical,1201
KRSNAA.NS,Healthcare,1947
KRYSTAL.NS,Industrials,852
KSB.NS,Industrials,15789
KSCL.NS,Basic Materials,5075
KSHINTL.NS,Industrials,4410
KSHITIJPOL.NS,Industrials,30
KSL.NS,Basic Materials,3859
KSOLVES.NS,Technology,670
KSR.NS,Consumer Cyclical,61
KTKBANK.NS,Financial Services,10301
KUANTUM.NS,Basic Materials,694
KWIL.NS,Consumer Defensive,6447
LAGNAM.NS,Consumer Cyclical,148
LAHOTIOV.NS,,0
LAKPRE.NS,Industrials,11
LAL.NS,Consumer Cyclical,128
LALPATHLAB.NS,Healthcare,27183
LAMBODHARA.NS,Consumer Cyclical,110
LANCORHOL.NS,Real Estate,170
LANDMARK.NS,Consumer Cyclical,1717
LANDSMILL.NS,Industrials,136
LAOPALA.NS,Consumer Cyclical,1998
LASA.NS,Healthcare,40
LATENTVIEW.NS,Industrials,6093
LATTEYS.NS,Industrials,126
LAURUSLABS.NS,Healthcare,62989
LAXMICOT.NS,Consumer Cyclical,24
LAXMIDENTL.NS,Healthcare,1165
LAXMIINDIA.NS,Financial Services,595
LCCINFOTEC.NS,Consumer Defensive,79
LEMERITE.NS,Consumer Cyclical,1083
LEMONTREE.NS,Consumer Cyclical,9511
LENSKART.NS,Healthcare,89698
LEXUS.NS,Industrials,37
LFIC.NS,Financial Services,42
LGBBROSLTD.NS,Consumer Cyclical,5358
LGEINDIA.NS,Technology,107395
LGHL.NS,Consumer Cyclical,1311
LIBAS.NS,Consumer Cyclical,33
LIBERTSHOE.NS,Consumer Cyclical,439
LICHSGFIN.NS,Financial Services,30740
LICI.NS,Financial Services,507739
LIKHITHA.NS,Energy,826
LINC.NS,Industrials,605
LINCOLN.NS,Healthcare,1290
LINDEINDIA.NS,Basic Materials,63238
LLOYDSENGG.NS,Industrials,8592
LLOYDSENT.NS,Basic Materials,10594
LLOYDSME.NS,Basic Materials,100703
LMW.NS,Industrials,15602
LODHA.NS,Real Estate,92334
LOKESHMACH.NS,Industrials,487
LORDSCHLO.NS,Basic Materials,433
LOTUSDEV.NS,Industrials,7085
LOTUSEYE.NS,Healthcare,243
LOVABLE.NS,Consumer Cyclical,110
LOYALTEX.NS,Consumer Cyclical,100
LPDC.NS,Real Estate,104
LT.NS,Industrials,567021
LTF.NS,Financial Services,71793
LTFOODS.NS,Consumer Defensive,15098
LTM.NS,Technology,125921
LTTS.NS,Technology,38362
LUMAXIND.NS,Consumer Cyclical,4749
LUMAXTECH.NS,Consumer Cyclical,10829
LUPIN.NS,Healthcare,107546
LUXIND.NS,Consumer Cyclical,4357
LXCHEM.NS,Basic Materials,4084
LYKALABS.NS,Healthcare,210
LYPSAGEMS.NS,Consumer Cyclical,16
M&M.NS,Consumer Cyclical,375286
M&MFIN.NS,Financial Services,43580
MAANALU.NS,Basic Materials,929
MACPOWER.NS,Industrials,1225
MADHAV.NS,Industrials,34
MADHAVIPL.NS,,0
MADHUCON.NS,Industrials,39
MADRASFERT.NS,Basic Materials,1114
MAFATIND.NS,Unknown,0
MAGADSUGAR.NS,Consumer Defensive,751
MAGNUM.NS,Basic Materials,147
MAHABANK.NS,Financial Services,61201
MAHAPEXLTD.NS,Financial Services,139
MAHASTEEL.NS,Basic Materials,1364
MAHEPC.NS,Industrials,327
MAHESHWARI.NS,Industrials,153
MAHLIFE.NS,Real Estate,7236
MAHLOG.NS,Industrials,4130
MAHSCOOTER.NS,Financial Services,14351
MAHSEAMLES.NS,Basic Materials,8600
MAITHANALL.NS,Basic Materials,2912
MAJESAUT.NS,Real Estate,0
MALLCOM.NS,Industrials,685
MALUPAPER.NS,Basic Materials,58
MAMATA.NS,Industrials,1031
MANAKALUCO.NS,Basic Materials,239
MANAKCOAT.NS,Industrials,1178
MANAKSIA.NS,Industrials,391
MANAKSTEEL.NS,Basic Materials,457
MANALIPETC.NS,Basic Materials,949
MANAPPURAM.NS,Financial Services,28908
MANBA.NS,Financial Services,550
MANCREDIT.NS,Financial Services,366
MANGALAM.NS,Healthcare,47
MANGLMCEM.NS,Basic Materials,2557
MANINDS.NS,Basic Materials,3926
MANINFRA.NS,Industrials,5051
MANKIND.NS,Healthcare,93963
MANOMAY.NS,Consumer Cyclical,402
MANORAMA.NS,Consumer Defensive,9072
MANORG.NS,Basic Materials,429
MANUGRAPH.NS,Industrials,44
MANYAVAR.NS,Consumer Cyclical,10570
MAPMYINDIA.NS,Technology,5179
MARALOVER.NS,Consumer Cyclical,194
MARATHON.NS,Real Estate,3229
MARICO.NS,Consumer Defensive,101760
MARINE.NS,Industrials,3106
MARKOLINES.NS,Industrials,333
MARKSANS.NS,Healthcare,8605
MARSONS.NS,Industrials,2822
MARUTI.NS,Consumer Cyclical,429693
MASFIN.NS,Financial Services,6399
MASKINVEST.NS,Financial Services,47
MASTEK.NS,Technology,5199
MASTERTR.NS,Financial Services,1004
MATRIMONY.NS,Communication Services,875
MAWANASUG.NS,Consumer Defensive,443
MAXESTATES.NS,Real Estate,6569
MAXHEALTH.NS,Healthcare,98720
MAXIND.NS,Healthcare,836
MAYURUNIQ.NS,Consumer Cyclical,2489
MAZDA.NS,Industrials,430
MAZDOCK.NS,Industrials,106157
MBAPL.NS,Basic Materials,4758
MBEL.NS,Industrials,1933
MBLINFRA.NS,Industrials,403
MCCHRLS-B.NS,,0
MCL.NS,Basic Materials,162
MCLEODRUSS.NS,Consumer Defensive,593
MCLOUD.NS,Technology,1578
MCX.NS,Financial Services,74547
MEDANTA.NS,Healthcare,31674
MEDIASSIST.NS,Healthcare,2657
MEDICAMEQ.NS,Healthcare,350
MEDICO.NS,Healthcare,356
MEDPLUS.NS,Healthcare,10418
MEESHO.NS,Consumer Cyclical,94946
MEGASTAR.NS,Consumer Defensive,324
MEIL.NS,Industrials,868
MENNPIS.NS,,0
MENONBE.NS,Consumer Cyclical,709
MEP.NS,Industrials,18
MERCANTILE.NS,,0
METROBRAND.NS,Consumer Cyclical,28053
METROGLOBL.NS,Industrials,157
METROPOLIS.NS,Healthcare,10158
MFML.NS,Consumer Cyclical,26
MFSL.NS,Financial Services,55632
MGEL.NS,Consumer Defensive,460
MGL.NS,Utilities,11328
MHLXMIRU.NS,Consumer Cyclical,204
MHRIL.NS,Consumer Cyclical,4946
MICEL.NS,Technology,1103
MIDHANI.NS,Basic Materials,7403
MIDWESTLTD.NS,Basic Materials,4542
MINDACORP.NS,Consumer Cyclical,12244
MINDTECK.NS,Technology,683
MIRCELECTR.NS,Consumer Cyclical,1260
MIRZAINT.NS,Consumer Cyclical,459
MITCON.NS,Industrials,142
MITTAL.NS,Consumer Cyclical,43
MKPL.NS,Consumer Defensive,197
MMFL.NS,Industrials,2421
MMP.NS,Basic Materials,656
MMTC.NS,Industrials,9837
MMWL.NS,Communication Services,0
MOBIKWIK.NS,Technology,1688
MODINATUR.NS,Consumer Defensive,506
MODIRUBBER.NS,Real Estate,331
MODIS.NS,Real Estate,781
MODISONLTD.NS,Industrials,540
MODTHREAD.NS,Consumer Cyclical,156
MOHITIND.NS,Consumer Cyclical,34
MOIL.NS,Basic Materials,6348
MOKSH.NS,Consumer Cyclical,116
MOL.NS,Basic Materials,1324
MOLDTECH.NS,Industrials,376
MOLDTKPAC.NS,Consumer Cyclical,1865
MONARCH.NS,Financial Services,2362
MONEYBOXX.NS,Financial Services,511
MONTECARLO.NS,Consumer Cyclical,1175
MORARJEE.NS,Consumer Cyclical,24
MOREPENLAB.NS,Healthcare,2326
MOSCHIP.NS,Technology,3950
MOTHERSON.NS,Consumer Cyclical,128481
MOTILALOFS.NS,Financial Services,49920
MOTISONS.NS,Consumer Cyclical,1370
MOTOGENFIN.NS,Real Estate,98
MPHASIS.NS,Technology,43304
MPSLTD.NS,Communication Services,2788
MRF.NS,Consumer Cyclical,55274
MRPL.NS,Energy,28462
MSPL.NS,Basic Materials,2092
MSTCLTD.NS,Industrials,3133
MSUMI.NS,Consumer Cyclical,27077
MTARTECH.NS,Industrials,19186
MTEDUCARE.NS,Consumer Defensive,11
MTNL.NS,Communication Services,1983
MUFIN.NS,Financial Services,2266
MUFTI.NS,Consumer Cyclical,513
MUKANDLTD.NS,Basic Materials,1988
MUKKA.NS,Consumer Defensive,726
MUKTAARTS.NS,Communication Services,132
MUNJALAU.NS,Consumer Cyclical,832
MUNJALSHOW.NS,Consumer Cyclical,520
MURUDCERA.NS,Industrials,203
MUTHOOTCAP.NS,Financial Services,346
MUTHOOTFIN.NS,Financial Services,140293
MUTHOOTMF.NS,Financial Services,3286
MVGJL.NS,Consumer Cyclical,855
MWL.NS,Basic Materials,1062
NACLIND.NS,Basic Materials,3824
NAGAFERT.NS,Basic Materials,238
NAGREEKCAP.NS,Financial Services,40
NAGREEKEXP.NS,Consumer Cyclical,84
NAHARCAP.NS,Financial Services,437
NAHARINDUS.NS,Consumer Cyclical,505
NAHARPOLY.NS,Consumer Cyclical,627
NAHARSPING.NS,Consumer Cyclical,919
NAM-INDIA.NS,Financial Services,66070
NARMADA.NS,Basic Materials,129
NATCAPSUQ.NS,Healthcare,161
NATCOPHARM.NS,Healthcare,20169
NATHBIOGEN.NS,Basic Materials,368
NATIONALUM.NS,Basic Materials,74714
NATIONSTD.NS,,0
NAUKRI.NS,Communication Services,63856
NAVA.NS,Industrials,19292
NAVINFLUOR.NS,Basic Materials,35418
NAVKARCORP.NS,Industrials,1511
NAVKARURB.NS,Basic Materials,89
NAVNETEDUL.NS,Communication Services,3257
NAZARA.NS,Communication Services,9856
NBCC.NS,Industrials,25204
NBIFIN.NS,Financial Services,626
NCC.NS,Industrials,10465
NCLIND.NS,Basic Materials,780
NDGL.NS,Financial Services,271
NDL.NS,Consumer Cyclical,407
NDLVENTURE.NS,Communication Services,406
NDRAUTO.NS,Consumer Cyclical,1904
NDTV.NS,Communication Services,925
NEAGI.NS,,0
NECCLTD.NS,Industrials,159
NECLIFE.NS,Healthcare,245
NELCAST.NS,Industrials,1275
NELCO.NS,Technology,1609
NEOGEN.NS,Basic Materials,4723
