symbol,price,market_cap,sector
ARFIN.NS,94.98,1602,Basic Materials
ARIES.NS,369.0,479,Basic Materials
ARIHANT.NS,935.0,804,Real Estate
ARIHANTCAP.NS,70.2,769,Financial Services
ARIHANTSUP.NS,279.0,1206,Real Estate
ARIS.NS,137.01,1120,Industrials
ARKADE.NS,117.6,2183,Real Estate
ARMANFIN.NS,1487.0,1563,Financial Services
AROGRANITE.NS,27.0,41,Industrials
ARROWGREEN.NS,533.0,804,Consumer Cyclical
ARSSBL.NS,599.0,3757,Financial Services
ARTEMISMED.NS,244.56,0,
ARTNIRMAN.NS,44.52,111,Real Estate
ARVEE.NS,168.0,185,Basic Materials
ARVIND.NS,397.35,10415,Consumer Cyclical
ARVINDFASN.NS,446.0,5961,Consumer Cyclical
ARVSMART.NS,618.0,2834,Real Estate
ASAHIINDIA.NS,836.95,21336,Consumer Cyclical
ASAHISONG.NS,246.5,290,Basic Materials
ASAL.NS,512.0,812,Consumer Cyclical
ASALCBR.NS,882.0,1770,Consumer Defensive
ASHAPURMIN.NS,631.0,6027,Basic Materials
ASHIANA.NS,342.85,3446,Real Estate
ASHIKA.NS,396.0,0,
ASHOKA.NS,133.9,3758,Industrials
ASHOKLEY.NS,162.55,95479,Industrials
ASIANENE.NS,319.37,1434,Energy
ASIANHOTNR.NS,296.9,1265,Consumer Cyclical
ASIANPAINT.NS,2450.0,234867,Basic Materials
ASIANTILES.NS,65.7,1947,Industrials
ASKAUTOLTD.NS,441.0,8693,Consumer Cyclical
ASPINWALL.NS,229.2,179,Consumer Defensive
ASTAR.NS,622.6,0,
ASTEC.NS,695.0,1548,Basic Materials
ASTERDM.NS,707.0,36547,Healthcare
ASTRAL.NS,1534.4,41221,Industrials
ASTRAMICRO.NS,1130.0,10728,Technology
ASTRAZEN.NS,8250.0,20625,Healthcare
ATALREAL.NS,26.1,323,Industrials
ATAM.NS,68.5,78,Industrials
ATGL.NS,634.9,69826,Utilities
ATHERENERG.NS,933.75,35732,Consumer Cyclical
ATL.NS,25.33,739,Industrials
ATLANTAA.NS,40.53,330,Industrials
ATLANTAELE.NS,1785.0,13726,Industrials
ATLASCYCLE.NS,101.69,66,Consumer Cyclical
ATUL.NS,6825.0,20093,Basic Materials
ATULAUTO.NS,491.0,1362,Consumer Cyclical
AUBANK.NS,1013.35,75834,Financial Services
AURIONPRO.NS,872.4,4816,Technology
AUROPHARMA.NS,1385.6,80475,Healthcare
AURUM.NS,183.8,1401,Real Estate
AUSOMENT.NS,147.2,200,Financial Services
AUTOAXLES.NS,1838.0,2777,Consumer Cyclical
AUTOIND.NS,64.6,293,Consumer Cyclical
AVADHSUGAR.NS,491.3,983,Consumer Defensive
AVAILFC.NS,150.6,0,
AVALON.NS,1063.0,7097,Technology
AVANTEL.NS,148.5,3945,Technology
AVANTIFEED.NS,1378.9,18786,Consumer Defensive
AVG.NS,164.14,247,Industrials
AVL.NS,521.0,6728,Consumer Cyclical
AVROIND.NS,125.5,168,Consumer Cyclical
AVTNPL.NS,69.75,1062,Basic Materials
AWFIS.NS,351.0,2511,Industrials
AWHCL.NS,511.0,1449,Industrials
AWL.NS,196.0,25358,Consumer Defensive
AXISBANK.NS,1275.5,396503,Financial Services
AXISCADES.NS,2019.0,8584,Industrials
AYE.NS,131.6,3217,Financial Services
AYMSYNTEX.NS,229.0,1342,Consumer Cyclical
AZAD.NS,2179.0,14072,Industrials
BAFNAPH.NS,134.0,316,Healthcare
BAJAJ-AUTO.NS,10039.0,280335,Consumer Cyclical
BAJAJCON.NS,450.1,5879,Consumer Defensive
BAJAJELEC.NS,396.75,4578,Consumer Cyclical
BAJAJFINSV.NS,1741.7,278236,Financial Services
BAJAJHCARE.NS,321.0,1080,Healthcare
BAJAJHFL.NS,87.15,72584,Financial Services
BAJAJHIND.NS,20.32,4791,Consumer Defensive
BAJAJHLDNG.NS,10241.0,113975,Financial Services
BAJAJINDEF.NS,297.7,952,Industrials
BAJAJST.NS,455.95,0,
BAJEL.NS,188.3,2178,Utilities
BAJFINANCE.NS,939.7,584293,Financial Services
BALAJEE.NS,31.97,260,Consumer Cyclical
BALAJITELE.NS,97.6,1189,Communication Services
BALAMINES.NS,1337.0,4332,Basic Materials
BALAXI.NS,26.65,147,Healthcare
BALKRISIND.NS,2161.0,41775,Consumer Cyclical
BALMLAWRIE.NS,188.69,3226,Industrials
BALPHARMA.NS,76.05,121,Healthcare
